πᾶσα	πᾶς	A-	----NSF-
Ἱεροσόλυμα	Ἱεροσόλυμα	N-	----NSF-
μετά	μετά	P-	--------
αὐτοῦ	αὐτός	RP	----GSM-
καί	καί	C-	--------
συναγαγών	συνάγω	V-	-AAPNSM-
πάντας	πᾶς	A-	----APM-
τούς	ὁ	RA	----APM-
ἀρχιερεῖς	ἀρχιερεύς	N-	----APM-
καί	καί	C-	--------
γραμματεῖς	γραμματεύς	N-	----APM-
τοῦ	ὁ	RA	----GSM-
λαοῦ	λαός	N-	----GSM-
ἐπυνθάνετο	πυνθάνομαι	V-	3IMI-S--
παρά	παρά	P-	--------
αὐτῶν	αὐτός	RP	----GPM-
ποῦ	ποῦ	D-	--------
ὁ	ὁ	RA	----NSM-
Χριστός	Χριστός	N-	----NSM-
γεννᾶται	γεννάω	V-	3PPI-S--
οἱ	ὁ	RA	----NPM-
δέ	δέ	C-	--------
εἶπαν	λέγω	V-	3AAI-P--
αὐτῷ	αὐτός	RP	----DSM-
ἐν	ἐν	P-	--------
Βηθλέεμ	Βηθλέεμ	N-	----DSF-
τῆς	ὁ	RA	----GSF-
Ἰουδαίας	Ἰουδαία	N-	----GSF-
οὕτω(ς)	οὕτω(ς)	D-	--------
γάρ	γάρ	C-	--------
γέγραπται	γράφω	V-	3XPI-S--
διά	διά	P-	--------
τοῦ	ὁ	RA	----GSM-
προφήτου	προφήτης	N-	----GSM-
καί	καί	C-	--------
σύ	σύ	RP	----NS--
Βηθλέεμ	Βηθλέεμ	N-	----VSF-
γῆ	γῆ	N-	----VSF-
Ἰούδα	Ἰούδας	N-	----GSM-
οὐδαμῶς	οὐδαμῶς	D-	--------
ἐλαχίστη	ἐλάχιστος	A-	----NSFS
εἶ	εἰμί	V-	2PAI-S--
ἐν	ἐν	P-	--------
τοῖς	ὁ	RA	----DPM-
ἡγεμόσι(ν)	ἡγεμών	N-	----DPM-
Ἰούδα	Ἰούδας	N-	----GSM-
ἐκ	ἐκ	P-	--------
σοῦ	σύ	RP	----GS--
γάρ	γάρ	C-	--------
ἐξελεύσεται	ἐξέρχομαι	V-	3FMI-S--
ἡγούμενος	ἡγέομαι	V-	-PMPNSM-
ὅστις	ὅστις	RR	----NSM-
ποιμανεῖ	ποιμαίνω	V-	3FAI-S--
τόν	ὁ	RA	----ASM-
λαόν	λαός	N-	----ASM-
μου	ἐγώ	RP	----GS--
τόν	ὁ	RA	----ASM-
Ἰσραήλ	Ἰσραήλ	N-	----ASM-
τότε	τότε	D-	--------
Ἡρῴδης	Ἡρῴδης	N-	----NSM-
λάθρᾳ	λάθρᾳ	D-	--------
καλέσας	καλέω	V-	-AAPNSM-
τούς	ὁ	RA	----APM-
μάγους	μάγος	N-	----APM-
ἠκρίβωσε(ν)	ἀκριβόω	V-	3AAI-S--
παρά	παρά	P-	--------
αὐτῶν	αὐτός	RP	----GPM-
τόν	ὁ	RA	----ASM-
χρόνον	χρόνος	N-	----ASM-
τοῦ	ὁ	RA	----GSM-
φαινομένου	φαίνω	V-	-PMPGSM-
ἀστέρος	ἀστήρ	N-	----GSM-
καί	καί	C-	--------
πέμψας	πέμπω	V-	-AAPNSM-
αὐτούς	αὐτός	RP	----APM-
εἰς	εἰς	P-	--------
Βηθλέεμ	Βηθλέεμ	N-	----ASF-
εἶπε(ν)	λέγω	V-	3AAI-S--
πορευθέντες	πορεύομαι	V-	-APPNPM-
ἐξετάσατε	ἐξετάζω	V-	2AAD-P--
ἀκριβῶς	ἀκριβῶς	D-	--------
περί	περί	P-	--------
τοῦ	ὁ	RA	----GSN-
παιδίου	παιδίον	N-	----GSN-
ἐπάν	ἐπάν	C-	--------
δέ	δέ	C-	--------
εὕρητε	εὑρίσκω	V-	2AAS-P--
ἀπαγγείλατε	ἀπαγγέλλω	V-	2AAD-P--
μοι	ἐγώ	RP	----DS--
ὅπως	ὅπως	C-	--------
κἀγώ	κἀγώ	RP	----NS--
ἐλθών	ἔρχομαι	V-	-AAPNSM-
προσκυνήσω	προσκυνέω	V-	1AAS-S--
αὐτῷ	αὐτός	RP	----DSM-
οἱ	ὁ	RA	----NPM-
δέ	δέ	C-	--------
ἀκούσαντες	ἀκούω	V-	-AAPNPM-
τοῦ	ὁ	RA	----GSM-
βασιλέως	βασιλεύς	N-	----GSM-
ἐπορεύθησαν	πορεύομαι	V-	3API-P--
καί	καί	C-	--------
ἰδού	ἰδού	X-	--------
ὁ	ὁ	RA	----NSM-
