α	Alpha	alpha, the first letter of the Greek alphabet.
ἀδικέω	to harm	(ἄδικος), intrans., to be ἄδικος, do wrong, act wickedly or criminally : Act.25:11, 1Co.6:8, 2Co.7:12, Col.3:25, Rev.22:11; to do hurt, Rev.9:19. Trans. to do some wrong : ὃ ἠδίκησεν, Col.3:25; to
ἀδίκημα	crime	(ἀδικέω), a wrong, injury, misdeed (MM, VGT, see word): Act.18:14 24:20, Rev.18:5.† (AS)
ἀδικία	unrighteousness	(ἄδικος), injustice : Luk.18:6, Rom.9:14. unrighteousness, iniquity : Jhn.7:18, Act.8:23, Rom.1:18, 29 2:8 6:13, 2Ti.2:19, 1Jn.1:9 5:17; opposite to ἀλήθεια, 1Co.13:6, 2Th.2:12; to δικαιοσύνη ],
ἄδικος	unjust	(δίκη), unjust : Rom.3:5, Heb.6:10. unrighteous, wicked : Luk.16:11 18:11, Act.24:15, 1Co.6:1,9 1Pe.3:18; opposite to δίκαιος, Mat.5:45; to εὐσεβής, 2Pe.2:9; to πιστός, Luk.16:10 (Cremer, 200). † (AS)
ἀδίκως	unjustly	(ἄδικος), unjustly, undeservedly : 1Pe.2:19. † (AS)
ἀδόκιμος	failing	of things (prop. of metals: LXX, ll. with), not standing the test, rejected : γῆ, Heb.6:8. Of persons, rejected after testing, reprobate : Rom.1:28, 1Co.9:27, 2Co.13:5-7, 2Ti.3:8, Tit.1:16 (Cremer,
ἄδολος	pure	guileless (Pind., Thuc). Of liquids (Æsch., Eur., and late prose writers), genuine, pure (in π. and in MGr. of wine, also of corn: MM, VGT, see word; Milligan, NTD, 77): of milk, metaphorically,
Ἀδραμυττηνός	Adramyttium	of Adramyttium, a seaport of Mysia: Act.27:2. † (AS)
Ἀδρίας	Adriatic Sea	the Adriatic sea, in later Greek usage extended to take in all the waters between Greece and Italy : Act.27:27. † (AS)
ἁδρότης	abundance	(ἁδρός, thick, well-grown ), thickness, vigour. abundance, bounty : 2Co.8:20. † (AS)
ἀδυνατέω	be impossible	(ἀδύνατος), Abbott-Smith omits this number to be unable (cl., Philo; π., see MM, VGT, see word). In LXX and NT (Kennedy, Sources, 124; Hatch, Essays, 4; Field, Notes, 46 f.), to be impossible :
ἀδύνατος	unable	of persons, unable, powerless : Act.14:8; figuratively Rom.15:1 (MM, VGT, see word). Of things, impossible : Mat.19:26, Mrk.10:27, Luk.18:27, Rom.8:3, Heb.6:4,18 10:4 11:6. † (AS)
ᾄδω	to sing	to sing, intrans., with dative (MM, VGT, see word), of praise to God: Eph.5:19, Col.3:16; trans., with cogn. accusative: ᾠδὴν, Rev.5:9 14:3 15:3. † (AS)
ἀεί	always	ever; of continuous time, unceasingly, perpetually : Act.7:51, 2 Co.4.11; 6:10, Tit.1:12, Heb.3:10. Of successive occurrences, on every occasion (MM, VGT, see word): 1Pe.3:15, 2Pe.1:12. † (AS)
ἀετός	eagle	an eagle : Rev.4:7 8:13 (Rec. ἀγγέλου) 12:14. Where carrion is referred to, ἀ. is probably a vulture (cf.
ἄζυμος	unleavened	(ζύμη), unleavened : ἡ ἑορτὴ τῶν ἄ. (הַג הַמָצָּה), the paschal feast (also called τὰ ἄ., Mrk.14:1 ), Luk.22:1; ἡμέρα τῶν ἄ., Mat.26:17, Mrk.14:12, Luk.22:7; ἡμέραι, Act.12:3 20:6. Fig., of
Ἀζώρ	Azor	Azor : Mat.1:13,14.† (AS)
Ἄζωτος	Azotus	Azotus, a Philistine city : Act.8:40. † (AS)
ἀήρ	air	in Hom., Hes., the lower air which surrounds the earth, as opposite to the purer αἰθήρ of the higher regions; generally, air (MM, VGT, see word): Act.22:23, 1Th.4:17, Rev.9:2 16:17; of the air as the
ἀθανασία	immortality	(ἀ-θάνατος, undying; V. MM, VGT, see word), immortality : 1Co.15:53,54 1Ti.6:16 (cf.
ἀθέμιτος	unlawful	(θέμις, custom, right ), of persons, lawless (III Mac, l.with); of things, lawless, unlawful : Act.10:28, 1Pe.4:3.† SYN. : see: ἄθεσμος. (AS)
ἄθεος	without God	in cl. slighting or denyiyig the gods (Plat.; cf.
ἄθεσμος	lawless	(θεσμός, law, custom ), lawless, esp. of those who violate the law of nature and conscience (cf.
ἀθετέω	to reject	to set aside, disregard (in Gramm., to reject as spurious ): διαθήκην, Gal.3:16; ἐντολήν, Mrk.7:9; νόμον. Heb.10:28; πίστιν, 1Ti.5:12. to nullify, make void : Luk.7:30 (see Field, Notes, 59),
